"10","11","1285","2268","3371"
"TYSND1","FNBP1",NA,NA,NA
"PRF1","GTF3C5",NA,NA,NA
"SEC24C","BRD3OS",NA,NA,NA
"ADK","BRD3",NA,NA,NA
"ZMIZ1","RXRA",NA,NA,NA
"ALDH18A1","MRPS2",NA,NA,NA
"ZNF518A","TRAF2",NA,NA,NA
"CUTC","PFKP",NA,NA,NA
"ARL3","PITRM1",NA,NA,NA
"TCF7L2","FBH1",NA,NA,NA
"CCDC186","ATP5F1C",NA,NA,NA
"RAB11FIP2","VIM",NA,NA,NA
"EIF3A","ZNF438",NA,NA,NA
"ZRANB1","EPC1",NA,NA,NA
"PTPRE","IPMK",NA,NA,NA
"BNIP3","ARID5B",NA,NA,NA
"BET1L","TYSND1",NA,NA,NA
"RIC8A","SEC24C",NA,NA,NA
"IFITM1","ZMIZ1",NA,NA,NA
"RNH1","ALDH18A1",NA,NA,NA
"PIDD1","ARHGAP19",NA,NA,NA
"MRPL23","CUTC",NA,NA,NA
"APBB1","ARL3",NA,NA,NA
"ARFIP2","PDCD4",NA,NA,NA
"RIC3","ACSL5",NA,NA,NA
"WEE1","TCF7L2",NA,NA,NA
"ZBED5","CCDC186",NA,NA,NA
"HTATIP2","RAB11FIP2",NA,NA,NA
"CRY2","EIF3A",NA,NA,NA
"ARFGAP2","ZRANB1",NA,NA,NA
"DDB2","DHX32",NA,NA,NA
"KBTBD4","BNIP3",NA,NA,NA
"ZFP91","BET1L",NA,NA,NA
"PRPF19","RIC8A",NA,NA,NA
"CD5","IFITM1",NA,NA,NA
"CYB561A3","RNH1",NA,NA,NA
"INCENP","PIDD1",NA,NA,NA
"B3GAT3","CTSD",NA,NA,NA
"OTUB1","APBB1",NA,NA,NA
"PPP2R5B","ARFIP2",NA,NA,NA
"VPS51","RIC3",NA,NA,NA
"FAU","WEE1",NA,NA,NA
"SLC25A45","ZBED5",NA,NA,NA
"SCYL1","MICAL2",NA,NA,NA
"FAM89B","HTATIP2",NA,NA,NA
"SIPA1","CRY2",NA,NA,NA
"RELA","ARFGAP2",NA,NA,NA
"KAT5","DDB2",NA,NA,NA
"CTSW","KBTBD4",NA,NA,NA
"CTSF","ZFP91",NA,NA,NA
"TBC1D10C","PRPF19",NA,NA,NA
"RPS6KB2","SLC15A3",NA,NA,NA
"PITPNM1","CYB561A3",NA,NA,NA
"TCIRG1","FADS1",NA,NA,NA
"C11orf24","INCENP",NA,NA,NA
"NUMA1","AHNAK",NA,NA,NA
"PLEKHB1","B3GAT3",NA,NA,NA
"FAM76B","COX8A",NA,NA,NA
"RDX","OTUB1",NA,NA,NA
"PAFAH1B2","PPP2R5B",NA,NA,NA
"ATP5MG","VPS51",NA,NA,NA
"DDX6","FAU",NA,NA,NA
"CBL","SLC25A45",NA,NA,NA
"RNF26","SCYL1",NA,NA,NA
"SRPRA","FAM89B",NA,NA,NA
"VPS26B","SIPA1",NA,NA,NA
"WNK1","RELA",NA,NA,NA
"FBXL14","KAT5",NA,NA,NA
"TAPBPL","CTSW",NA,NA,NA
"VAMP1","CTSF",NA,NA,NA
"NCAPD2","TBC1D10C",NA,NA,NA
"GAPDH","RPS6KB2",NA,NA,NA
"CHD4","PITPNM1",NA,NA,NA
"LPAR5","TCIRG1",NA,NA,NA
"ING4","C11orf24",NA,NA,NA
"TPI1","NUMA1",NA,NA,NA
"CLEC4E","FAM168A",NA,NA,NA
"RIMKLB","PLEKHB1",NA,NA,NA
"PHC1","RDX",NA,NA,NA
"M6PR","PAFAH1B2",NA,NA,NA
"CD69","ATP5MG",NA,NA,NA
"CLEC12A","DDX6",NA,NA,NA
"CLEC7A","CBL",NA,NA,NA
"ITPR2","RNF26",NA,NA,NA
"KLHL42","SRPRA",NA,NA,NA
"YAF2","WNK1",NA,NA,NA
"NELL2","FBXL14",NA,NA,NA
"TUBA1B","TAPBPL",NA,NA,NA
"TMT1A","VAMP1",NA,NA,NA
"ACVR1B","NCAPD2",NA,NA,NA
"ITGB7","GAPDH",NA,NA,NA
"MAP3K12","CHD4",NA,NA,NA
"TARBP2","LPAR5",NA,NA,NA
"TESPA1","ING4",NA,NA,NA
"ESYT1","C12orf57",NA,NA,NA
"TIMELESS","RIMKLB",NA,NA,NA
"ATP5F1B","PHC1",NA,NA,NA
"R3HDM2","M6PR",NA,NA,NA
"CDK4","CD69",NA,NA,NA
"SLC16A7","CLEC7A",NA,NA,NA
"TAFA2","ETV6",NA,NA,NA
"XPOT","ITPR2",NA,NA,NA
