"10","11","1285","2268","3371"
"RPUSD3","ATG4B",NA,NA,NA
"MKRN2","DTYMK",NA,NA,NA
"RPL32","SETD5",NA,NA,NA
"NUP210","TADA3",NA,NA,NA
"SH3BP5","ARPC4",NA,NA,NA
"PLCL2","RPUSD3",NA,NA,NA
"RAB5A","TSEN2",NA,NA,NA
"SLC4A7","MKRN2",NA,NA,NA
"TGFBR2","RPL32",NA,NA,NA
"TRANK1","NUP210",NA,NA,NA
"LRRFIP2","SH3BP5",NA,NA,NA
"ACAA1","RFTN1",NA,NA,NA
"VIPR1","PLCL2",NA,NA,NA
"NKTR","SLC4A7",NA,NA,NA
"POMGNT2","TGFBR2",NA,NA,NA
"ABHD5","GPD1L",NA,NA,NA
"TMEM42","TRANK1",NA,NA,NA
"EXOSC7","LRRFIP2",NA,NA,NA
"LARS2","ACAA1",NA,NA,NA
"CCR1","VIPR1",NA,NA,NA
"PTPN23","NKTR",NA,NA,NA
"SMARCC1","POMGNT2",NA,NA,NA
"DHX30","ABHD5",NA,NA,NA
"NME6","TMEM42",NA,NA,NA
"UQCRC1","EXOSC7",NA,NA,NA
"P4HTM","LARS2",NA,NA,NA
"DALRD3","CCR1",NA,NA,NA
"USP19","PTPN23",NA,NA,NA
"C3orf62","SMARCC1",NA,NA,NA
"TCTA","DHX30",NA,NA,NA
"APEH","UQCRC1",NA,NA,NA
"RNF123","P4HTM",NA,NA,NA
"UBA7","DALRD3",NA,NA,NA
"IFRD2","USP19",NA,NA,NA
"NPRL2","C3orf62",NA,NA,NA
"MANF","TCTA",NA,NA,NA
"TEX264","APEH",NA,NA,NA
"PARP3","RNF123",NA,NA,NA
"WDR82","UBA7",NA,NA,NA
"SPCS1","IFRD2",NA,NA,NA
"SFMBT1","NPRL2",NA,NA,NA
"DENND6A","MANF",NA,NA,NA
"FLNB","TEX264",NA,NA,NA
"ATXN7","PARP3",NA,NA,NA
"SUCLG2","SPCS1",NA,NA,NA
"TMF1","SFMBT1",NA,NA,NA
"RIOX2","ARHGEF3",NA,NA,NA
"ST3GAL6","DENND6A",NA,NA,NA
"ALCAM","FLNB",NA,NA,NA
"IFT57","ATXN7",NA,NA,NA
"SIDT1","SLC25A26",NA,NA,NA
"QTRT2","SUCLG2",NA,NA,NA
"GSK3B","TMF1",NA,NA,NA
"LRRC58","RIOX2",NA,NA,NA
"GOLGB1","ST3GAL6",NA,NA,NA
"OSBPL11","IFT57",NA,NA,NA
"ABTB1","SIDT1",NA,NA,NA
"RPN1","ARHGAP31",NA,NA,NA
"ISY1","GSK3B",NA,NA,NA
"CNBP","LRRC58",NA,NA,NA
"HMCES","GOLGB1",NA,NA,NA
"ASTE1","OSBPL11",NA,NA,NA
"ACP3","ABTB1",NA,NA,NA
"CDV3","RPN1",NA,NA,NA
"PXYLP1","ISY1",NA,NA,NA
"ATP1B3","CNBP",NA,NA,NA
"XRN1","HMCES",NA,NA,NA
"CHST2","ASTE1",NA,NA,NA
"HPS3","ACP3",NA,NA,NA
"P2RY13","UBA5",NA,NA,NA
"DHX36","CDV3",NA,NA,NA
"SLC33A1","PXYLP1",NA,NA,NA
"RSRC1","RASA2",NA,NA,NA
"SMC4","ATP1B3",NA,NA,NA
"SKIL","XRN1",NA,NA,NA
"TNIK","SLC9A9",NA,NA,NA
"TNFSF10","GYG1",NA,NA,NA
"GNB4","HPS3",NA,NA,NA
"CCDC39","RNF13",NA,NA,NA
"FXR1","P2RY13",NA,NA,NA
"MCCC1","DHX36",NA,NA,NA
"EIF2B5","SLC33A1",NA,NA,NA
"AP2M1","RSRC1",NA,NA,NA
"PSMD2","SMC4",NA,NA,NA
"IGF2BP2","SKIL",NA,NA,NA
"EIF4A2","TNIK",NA,NA,NA
"BCL6","TNFSF10",NA,NA,NA
"LPP","GNB4",NA,NA,NA
"ATP13A3","CCDC39",NA,NA,NA
"UBXN7","FXR1",NA,NA,NA
"NRROS","MCCC1",NA,NA,NA
"PIGX","EIF2B5",NA,NA,NA
"NCBP2AS2","AP2M1",NA,NA,NA
"FYTTD1","PSMD2",NA,NA,NA
"ATP5ME","IGF2BP2",NA,NA,NA
"TMEM129","EIF4A2",NA,NA,NA
"RNF4","BCL6",NA,NA,NA
"FAM193A","LPP",NA,NA,NA
"ADD1","ATP13A3",NA,NA,NA
"STX18","UBXN7",NA,NA,NA
"MAN2B2","NRROS",NA,NA,NA
"TBC1D14","PIGX",NA,NA,NA
"SH3TC1","NCBP2AS2",NA,NA,NA
"WDR1","FYTTD1",NA,NA,NA
"ZNF518B","ATP5ME",NA,NA,NA
"TAPT1","TMEM129",NA,NA,NA
"RBPJ","NSD2",NA,NA,NA
"TLR6","RNF4",NA,NA,NA
"SMIM14","FAM193A",NA,NA,NA
"UBE2K","ADD1",NA,NA,NA
"NFXL1","STX18",NA,NA,NA
"TXK","MAN2B2",NA,NA,NA
"DANCR","TBC1D14",NA,NA,NA
"CHIC2","WDR1",NA,NA,NA
"TMEM165","ZNF518B",NA,NA,NA
"HOPX","TAPT1",NA,NA,NA
"STAP1","ANAPC4",NA,NA,NA
"YTHDC1","RBPJ",NA,NA,NA
"MOB1B","TLR6",NA,NA,NA
"DCK","SMIM14",NA,NA,NA
"ANKRD17","UBE2K",NA,NA,NA
"SCARB2","GNPDA2",NA,NA,NA
"CCNI","COMMD8",NA,NA,NA
"CNOT6L","NFXL1",NA,NA,NA
"HNRNPD","TXK",NA,NA,NA
"HELQ","DANCR",NA,NA,NA
"PKD2","CHIC2",NA,NA,NA
"PDLIM5","TMEM165",NA,NA,NA
"RAP1GDS1","HOPX",NA,NA,NA
"PPP3CA","STAP1",NA,NA,NA
"BDH2","YTHDC1",NA,NA,NA
"INTS12","MOB1B",NA,NA,NA
"LEF1","DCK",NA,NA,NA
"LARP7","ANKRD17",NA,NA,NA
"BLTP1","SCARB2",NA,NA,NA
"SCLT1","CCNI",NA,NA,NA
"MGST2","CNOT6L",NA,NA,NA
"TBC1D9","HNRNPD",NA,NA,NA
"NR3C2","HELQ",NA,NA,NA
"FBXW7","PKD2",NA,NA,NA
"GASK1B","PDLIM5",NA,NA,NA
"RAPGEF2","RAP1GDS1",NA,NA,NA
"TMA16","PPP3CA",NA,NA,NA
"TMEM192","BDH2",NA,NA,NA
"DDX60L","INTS12",NA,NA,NA
"CDKN2AIP","HADH",NA,NA,NA
"SNX25","LEF1",NA,NA,NA
"NDUFS6","LARP7",NA,NA,NA
"MTRR","BLTP1",NA,NA,NA
"RETREG1","SCLT1",NA,NA,NA
"MTMR12","MGST2",NA,NA,NA
"RAD1","TBC1D9",NA,NA,NA
"FYB1","NR3C2",NA,NA,NA
"PTGER4","FBXW7",NA,NA,NA
"RPL37","GASK1B",NA,NA,NA
"OXCT1","RAPGEF2",NA,NA,NA
"ANXA2R-AS1","TMA16",NA,NA,NA
"SNX18","CDKN2AIP",NA,NA,NA
"IL6ST","SNX25",NA,NA,NA
"ANKRD55","NDUFS6",NA,NA,NA
"NDUFAF2","MTRR",NA,NA,NA
"ZSWIM6","RETREG1",NA,NA,NA
"CWC27","RAD1",NA,NA,NA
"PIK3R1","FYB1",NA,NA,NA
"RAD17","RPL37",NA,NA,NA
"GFM2","OXCT1",NA,NA,NA
"NSA2","ANXA2R-AS1",NA,NA,NA
"POLK","PARP8",NA,NA,NA
"TENT2","SNX18",NA,NA,NA
"MTX3","IL6ST",NA,NA,NA
"ZFYVE16","ANKRD55",NA,NA,NA
"RASGRF2","NDUFAF2",NA,NA,NA
"VCAN","ZSWIM6",NA,NA,NA
"ARRDC3","CWC27",NA,NA,NA
"ARB2A","RAD17",NA,NA,NA
"ERAP1","GFM2",NA,NA,NA
"CHD1","NSA2",NA,NA,NA
"ST8SIA4","POLK",NA,NA,NA
"MAN2A1","TENT2",NA,NA,NA
"APC","MTX3",NA,NA,NA
"PGGT1B","ZFYVE16",NA,NA,NA
"FEM1C","RASGRF2",NA,NA,NA
"SNX2","VCAN",NA,NA,NA
"FNIP1","ARRDC3",NA,NA,NA
"IRF1","ARB2A",NA,NA,NA
"CAMLG","ERAP1",NA,NA,NA
"SMAD5","CHD1",NA,NA,NA
"KLHL3","ST8SIA4",NA,NA,NA
"STING1","MAN2A1",NA,NA,NA
"UBE2D2","SLC25A46",NA,NA,NA
"HARS2","APC",NA,NA,NA
"DIAPH1","PGGT1B",NA,NA,NA
"FCHSD1","SNX2",NA,NA,NA
"CCDC69","FNIP1",NA,NA,NA
"LARP1","IRF1",NA,NA,NA
"ITK","CAMLG",NA,NA,NA
"CYFIP2","SMAD5",NA,NA,NA
"CLINT1","KLHL3",NA,NA,NA
"EBF1","CDC23",NA,NA,NA
"CCNG1","STING1",NA,NA,NA
"NUDCD2","UBE2D2",NA,NA,NA
"RARS1","CD14",NA,NA,NA
"DOCK2","HARS2",NA,NA,NA
"STK10","DIAPH1",NA,NA,NA
"CREBRF","FCHSD1",NA,NA,NA
"TSPAN17","TNIP1",NA,NA,NA
"RGS14","CCDC69",NA,NA,NA
"GRK6","SAP30L",NA,NA,NA
"RMND5B","LARP1",NA,NA,NA
"NHP2","ITK",NA,NA,NA
"MRNIP","CYFIP2",NA,NA,NA
"TBC1D9B","EBF1",NA,NA,NA
"TRIM41","CCNG1",NA,NA,NA
"RIPK1","NUDCD2",NA,NA,NA
"GCNT2","RARS1",NA,NA,NA
"HIVEP1","CREBRF",NA,NA,NA
"GFOD1","SFXN1",NA,NA,NA
"MYLIP","TSPAN17",NA,NA,NA
"ATXN1","RGS14",NA,NA,NA
"DEK","GRK6",NA,NA,NA
"TRIM38","PDLIM7",NA,NA,NA
"H1-2","RMND5B",NA,NA,NA
"HLA-E","NHP2",NA,NA,NA
"PPP1R10","MRNIP",NA,NA,NA
"MRPS18B","TBC1D9B",NA,NA,NA
"DHX16","ZFP62",NA,NA,NA
"FLOT1","TRIM41",NA,NA,NA
"LTB","EXOC2",NA,NA,NA
"CLIC1","RIPK1",NA,NA,NA
"SNHG32","GCNT2",NA,NA,NA
"NEU1","NEDD9",NA,NA,NA
"EHMT2","HIVEP1",NA,NA,NA
"NELFE","GFOD1",NA,NA,NA
"ATF6B","ATXN1",NA,NA,NA
"PSMB8","DEK",NA,NA,NA
"PSMB9","TRIM38",NA,NA,NA
"TAP1","H1-2",NA,NA,NA
"BRD2","HLA-E",NA,NA,NA
"WDR46","MRPS18B",NA,NA,NA
"RGL2","DHX16",NA,NA,NA
"TAPBP","FLOT1",NA,NA,NA
"PHF1","LTB",NA,NA,NA
"ITPR3","CLIC1",NA,NA,NA
"SNRPC","SNHG32",NA,NA,NA
"ZNF76","NEU1",NA,NA,NA
"MAPK13","EHMT2",NA,NA,NA
"CMTR1","NELFE",NA,NA,NA
"CCDC167","ATF6B",NA,NA,NA
"ZFAND3","HLA-DQB1",NA,NA,NA
"PPP2R5D","PSMB8",NA,NA,NA
"SRF","PSMB9",NA,NA,NA
"RUNX2","TAP1",NA,NA,NA
"PLA2G7","BRD2",NA,NA,NA
"EFHC1","WDR46",NA,NA,NA
"DST","RGL2",NA,NA,NA
